1959 Topps #478 Bob Roberto Clemente Pittsburgh Pirates HOF PSA 7 NM Centered,Roberto Clemente,$475.00 ,"Feb 25, 2021

08:45:37 PST",Baseball,Pittsburgh Pirates,1959,Topps,7,Professional Sports (PSA),HOF,https://www.ebay.com/itm/1959-Topps-478-Bob-Roberto-Clemente-Pittsburgh-Pirates-HOF-PSA-7-NM-Centered/124595263576?hash=item1d0274d858:g:3iwAAOSwVTdgN8WC
2019 Panini Certified Drew Lock RC Patch Auto Red #d /99 Denver Broncos ,Drew Lock,$68.00 ,"Feb 25, 2021

08:45:32 PST",Football,Denver Broncos,2019,Panini,Ungraded,Not Professionally Graded,"Memorabilia, Piece of Authentic, Rookie, Serial Numbered, Single-Insert, Single-Parallel",https://www.ebay.com/itm/2019-Panini-Certified-Drew-Lock-RC-Patch-Auto-Red-d-99-Denver-Broncos/402698429947?hash=item5dc2b265fb:g:QV0AAOSwOVhgLplc
"1997 CIRCA RAVE JEFF BAGWELL #102, #045 of ONLY 150!! RARE, UNGRADED",,$39.99 ,"Feb 25, 2021

08:45:28 PST",BASEBALL,Baltimore Orioles,1997,CIRCA RAVE,Ungraded,Not Professionally Graded,Serial Numbered,https://www.ebay.com/itm/1997-CIRCA-RAVE-JEFF-BAGWELL-102-045-of-ONLY-150-RARE-UNGRADED/265065065226?hash=item3db71beb0a:g:-JEAAOSwpB9gNXoG
2013-14 Panini Prestige #175 Giannis Antetokounmpo Bucks RC Rookie PSA 10. 🔥,Giannis Antetokounmpo,$619.99 ,"Feb 25, 2021

08:45:24 PST",Basketball,,2013,Panini,10,Professional Sports (PSA),Rookie,https://www.ebay.com/itm/2013-14-Panini-Prestige-175-Giannis-Antetokounmpo-Bucks-RC-Rookie-PSA-10/184651724144?hash=item2afe19b570:g:sTYAAOSwzlZgHaS6
2019 Panini Prizm Stephen Curry Cracked Pink Ice Warriors #98 PSA 10 GEM MT,Stephen Curry,$175.00 ,"Feb 25, 2021

08:44:58 PST",Basketball,Golden State Warriors,2019,Panini Prizm,10,Professional Sports (PSA),Holographic Foil,https://www.ebay.com/itm/2019-Panini-Prizm-Stephen-Curry-Cracked-Pink-Ice-Warriors-98-PSA-10-GEM-MT/174623465957?hash=item28a85ea1e5:g:MZgAAOSwSwBgGtdS
VIC JANOWICZ Ohio State Buckeyes SIGNED Autograph Football Card Heisman Winner,Vic Janowicz,$37.00 ,"Feb 25, 2021

08:44:57 PST",Football,Cleveland Browns,,,,Not Professionally Graded,,https://www.ebay.com/itm/VIC-JANOWICZ-Ohio-State-Buckeyes-SIGNED-Autograph-Football-Card-Heisman-Winner/124579802525?hash=item1d0188ed9d:g:--QAAOSw3hBgLplc
1956 Topps #292 Luis Aparicio Chicago White Sox HOF PSA 6 EX-MT,Luis Aparicio,$255.00 ,"Feb 25, 2021

08:44:49 PST",Baseball,Chicago White Sox,1956,Topps,6,Professional Sports (PSA),,https://www.ebay.com/itm/1956-Topps-292-Luis-Aparicio-Chicago-White-Sox-HOF-PSA-6-EX-MT/224364361116?hash=item343d28759c:g:jTsAAOSwxeNgNsXx
AUSTIN WELLS 2020 Bowman Draft BLUE WAVE REFRACTOR AUTO 142/150 YANKEES 1ST,Austin Wells,$175.00 ,"Feb 25, 2021

08:44:35 PST",Baseball,New York Yankees,2020,Bowman,Ungraded,,Refractor,https://www.ebay.com/itm/AUSTIN-WELLS-2020-Bowman-Draft-BLUE-WAVE-REFRACTOR-AUTO-142-150-YANKEES-1ST/324428361163?hash=item4b896fedcb:g:wFUAAOSw-11f4pZM
2020 Allen & Ginter Cody Bellinger RIP card UNRIPPED /99 # Rip-11,Cody Bellinger,$75.00 ,"Feb 25, 2021

08:44:33 PST",Baseball,Los Angeles Dodgers,2020,Topps,Ungraded,,Serial Numbered,https://www.ebay.com/itm/2020-Allen-Ginter-Cody-Bellinger-RIP-card-UNRIPPED-99-Rip-11/184681122778?hash=item2affda4bda:g:aqYAAOSwNqNgI0-X
2018-19 The Cup Rookie Patch Auto - Zach Whitecloud /249 Golden Knights,Zach Whitecloud,$60.00 ,"Feb 25, 2021

08:44:31 PST",Ice Hockey,Vegas Golden Knights,,Upper Deck,,,"Piece of Authentic, Rookie, Serial Numbered",https://www.ebay.com/itm/2018-19-The-Cup-Rookie-Patch-Auto-Zach-Whitecloud-249-Golden-Knights/294026021743?hash=item4475510b6f:g:m6sAAOSw8U5gMqXw
